calcium_label,calcium AUC,calcium response time,calcium_auc_w1,calcium_auc_w2,calcium_auc_w3,calcium_auc_norm_w1,calcium_auc_norm_w2,calcium_auc_norm_w3,calcium_active_time_w1,calcium_active_time_w2,calcium_active_time_w3,calcium_response_time_w1,calcium_response_time_w2,calcium_response_time_w3,calcium_auc_w2_w3,calcium_auc_norm_w2_w3,calcium_AUC_norm,calcium_baseline_F0,calcium_baseline_mean_dff,calcium_baseline_sd_dff
1,8.90425392985344,0.0,0.7604098035953939,0.0,8.90425392985344,0.012673496726589899,0.0,0.13698852199774522,60.0,68.0,65.0,0.0,0.0,0.10606060606060606,8.90425392985344,0.06694927766807098,0.06694927766807098,1197.080810546875,0.0046525197103619576,0.07680066674947739
2,10.179691489902325,0.0,1.8566167379030958,1.7087820605374873,8.470909429364838,0.03094361229838493,0.025129147949080693,0.1303216835286898,60.0,68.0,65.0,0.0,0.0,0.030303030303030304,10.179691489902325,0.0765390337586641,0.0765390337586641,941.974609375,0.017980443313717842,0.08552631735801697
3,62.40011628717184,0.0,0.1377941386308521,0.0,62.40011628717184,0.0022965689771808685,0.0,0.9600017890334129,60.0,68.0,65.0,0.0,0.0,0.6818181818181818,62.40011628717184,0.469173806670465,0.469173806670465,1239.554931640625,0.0037966782692819834,0.029903246089816093
4,0.0015464070020243526,0.0,0.46404473850270733,0.0015464070020243526,0.0,0.007734078975045122,2.2741279441534597e-05,0.0,60.0,68.0,65.0,0.0,0.0,0.0,0.0015464070020243526,1.1627120315972575e-05,1.1627120315972575e-05,1786.6832275390625,-0.003427352989092469,0.03899330645799637
5,8.07620392786339,0.0,0.6244819085113704,0.5046741510741413,7.571529776789248,0.01040803180852284,0.007421678692266783,0.11648507348906535,60.0,68.0,65.0,0.0,0.0,0.15151515151515152,8.07620392786339,0.06072333780348413,0.06072333780348413,1421.417724609375,-0.0033883589785546064,0.02935534343123436
6,3.940115125500597,0.0,1.115859912824817,0.5149790782015771,3.42513604729902,0.01859766521374695,0.007573221738258486,0.05269440072767723,60.0,68.0,65.0,0.0,0.0,0.0,3.940115125500597,0.029624925755643586,0.029624925755643586,1041.9844970703125,0.00866264570504427,0.07849738001823425
7,2.1630769936018623,0.0,0.5261023504426703,0.02015501953428611,2.1429219740675762,0.008768372507377838,0.0002963973460924428,0.03296803037027041,60.0,68.0,65.0,0.0,0.0,0.015151515151515152,2.1630769936018623,0.016263736793998965,0.016263736793998965,1458.7796630859375,-0.001466069370508194,0.03731884807348251
8,4.690119518316351,0.0,2.53094443352893,2.35465452587232,2.335464992444031,0.042182407225482166,0.03462727243929882,0.03593023065298509,60.0,68.0,65.0,0.0,0.0,0.0,4.690119518316351,0.03526405652869437,0.03526405652869437,644.3057250976562,-0.002152357716113329,0.07582378387451172
9,10.098513616467244,0.0,0.903344680576339,0.41978804487735033,9.678725571589894,0.015055744676272317,0.006173353601137505,0.1489034703321522,60.0,68.0,65.0,0.0,0.0,0.19696969696969696,10.098513616467244,0.07592867380802439,0.07592867380802439,426.9235534667969,0.0019496831810101867,0.05363252013921738
10,0.8395348307676613,0.0,0.03814902971498668,0.007238874677568674,0.8322959560900927,0.0006358171619164447,0.0001064540393760099,0.01280455317061681,60.0,68.0,65.0,0.0,0.0,0.045454545454545456,0.8395348307676613,0.006312291960659108,0.006312291960659108,918.3424682617188,-0.0008298478787764907,0.020680340006947517
