stain_label,calcium_label,overlap_px,frac_stain,stain_area,calcium_area,calcium AUC,calcium response time,calcium_auc_w1,calcium_auc_w2,calcium_auc_w3,calcium_auc_norm_w1,calcium_auc_norm_w2,calcium_auc_norm_w3,calcium_active_time_w1,calcium_active_time_w2,calcium_active_time_w3,calcium_response_time_w1,calcium_response_time_w2,calcium_response_time_w3,calcium_auc_w2_w3,calcium_auc_norm_w2_w3,calcium_AUC_norm,calcium_baseline_F0,calcium_baseline_mean_dff,calcium_baseline_sd_dff,cell_area,O4_prop,O4_mfi_norm,PDGFRa_prop,PDGFRa_mfi_norm,MBP_prop,MBP_mfi_norm
130,158,6683,0.945930644019816,7065,12303,49.13781389594078,0.0,0.0,0.0,49.13781389594078,0.0,0.0,0.682469637443622,55.0,80.0,72.0,0.0,0.0,0.9863013698630136,49.13781389594078,0.323275091420663,0.323275091420663,338.62103271484375,-0.004023622255772352,0.04894537851214409,1690,0.05562130177514793,1.5923724496646177,0.8881656804733727,3.7520097895622007,0.10295857988165681,1.3792458836218893
55,63,5938,0.8432263561488214,7042,8403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,81.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.207763671875,-0.006471637636423111,0.028415478765964508,3681,0.029883183917413746,1.3448052925472718,0.8090192882368922,3.002725971822377,0.25156207552295573,1.328100719244685
350,321,5881,1.0,5881,12236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,80.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,372.4005126953125,-0.0018563466146588326,0.03401847928762436,805,1.0,1.7131191128200827,0.0,1.0508180704773602,0.0,1.170998635516539
395,349,5718,0.9920194309507286,5764,16822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,80.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1213.897216796875,0.001490627764724195,0.019865768030285835,0,0.0,,0.0,,0.0,
87,97,5457,0.9718610863757792,5615,7199,53.999560836702585,0.0,0.0,0.0,53.999560836702585,0.0,0.0,0.7499939005097581,55.0,80.0,72.0,0.0,0.0,0.9452054794520548,53.999560836702585,0.35526026866251703,0.35526026866251703,476.5528564453125,-0.0038181478157639503,0.04808514192700386,2321,0.0,1.2325116130405112,1.0,2.876819736330455,0.0,1.2362041841297666
175,201,5165,0.9496230924802354,5439,8944,0.030016298755072057,0.0,0.462042594444938,0.024040362215600908,0.0059759365394711494,0.008400774444453418,0.0003005045276950113,8.299911860376596e-05,55.0,80.0,72.0,0.0,0.0,0.0,0.030016298755072057,0.00019747564970442144,0.00019747564970442144,704.5468139648438,-0.006793972570449114,0.018100854009389877,2203,1.0,1.8273093629990667,0.0,1.295858041218497,0.0,1.2180687915134678
112,131,4762,0.8175107296137339,5825,7106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,80.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,642.4386596679688,0.01766667142510414,0.06449878960847855,3504,0.0396689497716895,1.3714217939542996,0.7665525114155252,3.624532939917017,0.2565639269406393,1.368107155149169
63,76,4703,0.9966094511549057,4719,9003,0.15585362911224365,0.0,0.0,0.0,0.15585362911224365,0.0,0.0,0.002164633737670051,55.0,80.0,72.0,0.0,0.0,0.0,0.15585362911224365,0.001025352823106866,0.001025352823106866,879.2296142578125,-0.00029789935797452927,0.030575403943657875,0,0.0,,0.0,,0.0,
165,191,4579,0.754987633965375,6065,11464,0.045539470156654716,0.0,0.0,0.0,0.045539470156654716,0.0,0.0,0.0006324926410646489,55.0,80.0,72.0,0.0,0.0,0.0,0.045539470156654716,0.0002996017773464126,0.0002996017773464126,1837.77734375,-0.00814188364893198,0.028705226257443428,4066,0.8617806197737334,1.777506671145019,0.12838170191834727,1.4098058312665864,0.030496802754549926,1.4331725240269417
118,139,4519,0.9076119702751556,4979,8520,34.28279405832291,0.0,0.0,0.0,34.28279405832291,0.0,0.0,0.47614991747670704,55.0,80.0,72.0,0.0,0.0,0.9863013698630136,34.28279405832291,0.22554469775212438,0.22554469775212438,456.3238830566406,-0.0034388878848403692,0.05797448381781578,22,0.18181818181818182,1.4693026649365954,0.0,1.1854028249693085,0.8181818181818182,1.312200269743825
