bundle_id,bio,treatment,tech,staining_img,calcium_img,landmarks_csv,staining_candidates,calcium_candidates,landmarks_candidates,ilastik_used,ilp_o4,ilp_pdgfra,ilp_mbp,ilp_bf,staining_exists,calcium_exists,landmarks_exists,ilp_o4_exists,ilp_pdgfra_exists,ilp_mbp_exists,ilp_bf_exists,complete,notes
N1_HAMI3379_T1,N1,HAMI3379,1,C:\Users\JackM\Calcium\multiplex\N1_20250929_staining___20x_HAMI3379.tif,C:\Users\JackM\Calcium\multiplex\N1_calcium_251003___HAMI.tif,C:\Users\JackM\Calcium\multiplex\N1_HAMI3379.csv,C:\Users\JackM\Calcium\multiplex\N1_20250929_staining___20x_HAMI3379.tif,C:\Users\JackM\Calcium\multiplex\N1_calcium_251003___HAMI.tif,C:\Users\JackM\Calcium\multiplex\N1_HAMI3379.csv,O4=C:\Users\JackM\calcium\ilastik_models\n1_o4\n1_o4.ilp|PDGFRa=C:\Users\JackM\calcium\ilastik_models\n1_pdgfra\n1_pdgfra.ilp|MBP=C:\Users\JackM\calcium\ilastik_models\n1_mbp\n1_mbp.ilp|BF=C:\Users\JackM\calcium\ilastik_models\n1_bf\n1_bf.ilp,C:\Users\JackM\calcium\ilastik_models\n1_o4\n1_o4.ilp,C:\Users\JackM\calcium\ilastik_models\n1_pdgfra\n1_pdgfra.ilp,C:\Users\JackM\calcium\ilastik_models\n1_mbp\n1_mbp.ilp,C:\Users\JackM\calcium\ilastik_models\n1_bf\n1_bf.ilp,True,True,True,True,True,True,True,True,
N1_HAMI3379_T2,N1,HAMI3379,2,C:\Users\JackM\Calcium\multiplex\N1_20250929_staining___20x_HAMI3379_2.tif,C:\Users\JackM\Calcium\multiplex\N1_calcium_251003___HAMI_2.tif,C:\Users\JackM\Calcium\multiplex\N1_HAMI3379_2.csv,C:\Users\JackM\Calcium\multiplex\N1_20250929_staining___20x_HAMI3379_2.tif,C:\Users\JackM\Calcium\multiplex\N1_calcium_251003___HAMI_2.tif,C:\Users\JackM\Calcium\multiplex\N1_HAMI3379_2.csv,O4=C:\Users\JackM\calcium\ilastik_models\n1_o4\n1_o4.ilp|PDGFRa=C:\Users\JackM\calcium\ilastik_models\n1_pdgfra\n1_pdgfra.ilp|MBP=C:\Users\JackM\calcium\ilastik_models\n1_mbp\n1_mbp.ilp|BF=C:\Users\JackM\calcium\ilastik_models\n1_bf\n1_bf.ilp,C:\Users\JackM\calcium\ilastik_models\n1_o4\n1_o4.ilp,C:\Users\JackM\calcium\ilastik_models\n1_pdgfra\n1_pdgfra.ilp,C:\Users\JackM\calcium\ilastik_models\n1_mbp\n1_mbp.ilp,C:\Users\JackM\calcium\ilastik_models\n1_bf\n1_bf.ilp,True,True,True,True,True,True,True,True,
N1_MDL29951_T1,N1,MDL29951,1,C:\Users\JackM\Calcium\multiplex\N1_20250929_staining___20x_MDL29951.tif,C:\Users\JackM\Calcium\multiplex\N1_calcium_251003___MDL29951.tif,C:\Users\JackM\Calcium\multiplex\N1_MDL29951.csv,C:\Users\JackM\Calcium\multiplex\N1_20250929_staining___20x_MDL29951.tif,C:\Users\JackM\Calcium\multiplex\N1_calcium_251003___MDL29951.tif,C:\Users\JackM\Calcium\multiplex\N1_MDL29951.csv,O4=C:\Users\JackM\calcium\ilastik_models\n1_o4\n1_o4.ilp|PDGFRa=C:\Users\JackM\calcium\ilastik_models\n1_pdgfra\n1_pdgfra.ilp|MBP=C:\Users\JackM\calcium\ilastik_models\n1_mbp\n1_mbp.ilp|BF=C:\Users\JackM\calcium\ilastik_models\n1_bf\n1_bf.ilp,C:\Users\JackM\calcium\ilastik_models\n1_o4\n1_o4.ilp,C:\Users\JackM\calcium\ilastik_models\n1_pdgfra\n1_pdgfra.ilp,C:\Users\JackM\calcium\ilastik_models\n1_mbp\n1_mbp.ilp,C:\Users\JackM\calcium\ilastik_models\n1_bf\n1_bf.ilp,True,True,True,True,True,True,True,True,
N1_MDL29951_T2,N1,MDL29951,2,C:\Users\JackM\Calcium\multiplex\N1_20250929_staining___20x_MDL29951_2.tif,C:\Users\JackM\Calcium\multiplex\N1_calcium_251003___MDL29951_2.tif,C:\Users\JackM\Calcium\multiplex\N1_MDL29951_2.csv,C:\Users\JackM\Calcium\multiplex\N1_20250929_staining___20x_MDL29951_2.tif,C:\Users\JackM\Calcium\multiplex\N1_calcium_251003___MDL29951_2.tif,C:\Users\JackM\Calcium\multiplex\N1_MDL29951_2.csv,O4=C:\Users\JackM\calcium\ilastik_models\n1_o4\n1_o4.ilp|PDGFRa=C:\Users\JackM\calcium\ilastik_models\n1_pdgfra\n1_pdgfra.ilp|MBP=C:\Users\JackM\calcium\ilastik_models\n1_mbp\n1_mbp.ilp|BF=C:\Users\JackM\calcium\ilastik_models\n1_bf\n1_bf.ilp,C:\Users\JackM\calcium\ilastik_models\n1_o4\n1_o4.ilp,C:\Users\JackM\calcium\ilastik_models\n1_pdgfra\n1_pdgfra.ilp,C:\Users\JackM\calcium\ilastik_models\n1_mbp\n1_mbp.ilp,C:\Users\JackM\calcium\ilastik_models\n1_bf\n1_bf.ilp,True,True,True,True,True,True,True,True,
N1_pranlukast_T1,N1,pranlukast,1,C:\Users\JackM\Calcium\multiplex\N1_20250929_staining___20x_pranlukast.tif,C:\Users\JackM\Calcium\multiplex\N1_calcium_251003___Pranlukast.tif,C:\Users\JackM\Calcium\multiplex\N1_pranlukast.csv,C:\Users\JackM\Calcium\multiplex\N1_20250929_staining___20x_pranlukast.tif,C:\Users\JackM\Calcium\multiplex\N1_calcium_251003___Pranlukast.tif,C:\Users\JackM\Calcium\multiplex\N1_pranlukast.csv,O4=C:\Users\JackM\calcium\ilastik_models\n1_o4\n1_o4.ilp|PDGFRa=C:\Users\JackM\calcium\ilastik_models\n1_pdgfra\n1_pdgfra.ilp|MBP=C:\Users\JackM\calcium\ilastik_models\n1_mbp\n1_mbp.ilp|BF=C:\Users\JackM\calcium\ilastik_models\n1_bf\n1_bf.ilp,C:\Users\JackM\calcium\ilastik_models\n1_o4\n1_o4.ilp,C:\Users\JackM\calcium\ilastik_models\n1_pdgfra\n1_pdgfra.ilp,C:\Users\JackM\calcium\ilastik_models\n1_mbp\n1_mbp.ilp,C:\Users\JackM\calcium\ilastik_models\n1_bf\n1_bf.ilp,True,True,True,True,True,True,True,True,
N1_pranlukast_T2,N1,pranlukast,2,C:\Users\JackM\Calcium\multiplex\N1_20250929_staining___20x_pranlukast_2.tif,C:\Users\JackM\Calcium\multiplex\N1_calcium_251003___Pranlukast_2.tif,C:\Users\JackM\Calcium\multiplex\N1_pranlukast_2.csv,C:\Users\JackM\Calcium\multiplex\N1_20250929_staining___20x_pranlukast_2.tif,C:\Users\JackM\Calcium\multiplex\N1_calcium_251003___Pranlukast_2.tif,C:\Users\JackM\Calcium\multiplex\N1_pranlukast_2.csv,O4=C:\Users\JackM\calcium\ilastik_models\n1_o4\n1_o4.ilp|PDGFRa=C:\Users\JackM\calcium\ilastik_models\n1_pdgfra\n1_pdgfra.ilp|MBP=C:\Users\JackM\calcium\ilastik_models\n1_mbp\n1_mbp.ilp|BF=C:\Users\JackM\calcium\ilastik_models\n1_bf\n1_bf.ilp,C:\Users\JackM\calcium\ilastik_models\n1_o4\n1_o4.ilp,C:\Users\JackM\calcium\ilastik_models\n1_pdgfra\n1_pdgfra.ilp,C:\Users\JackM\calcium\ilastik_models\n1_mbp\n1_mbp.ilp,C:\Users\JackM\calcium\ilastik_models\n1_bf\n1_bf.ilp,True,True,True,True,True,True,True,True,
N2_HAMI3379_T1,N2,HAMI3379,1,C:\Users\JackM\Calcium\multiplex\N2_20251006_staining___HAMI3379.tif,C:\Users\JackM\Calcium\multiplex\N2_calcium_20250610___HAMI3379.tif,C:\Users\JackM\Calcium\multiplex\N2_HAMI3379.csv,C:\Users\JackM\Calcium\multiplex\N2_20251006_staining___HAMI3379.tif,C:\Users\JackM\Calcium\multiplex\N2_calcium_20250610___HAMI3379.tif,C:\Users\JackM\Calcium\multiplex\N2_HAMI3379.csv,O4=C:\Users\JackM\calcium\ilastik_models\n2_o4\n2_o4.ilp|PDGFRa=C:\Users\JackM\calcium\ilastik_models\n2_pdgfra\n2_pdgfra.ilp|MBP=C:\Users\JackM\calcium\ilastik_models\n2_mbp\n2_mbp.ilp|BF=C:\Users\JackM\calcium\ilastik_models\n2_bf\n2_bf.ilp,C:\Users\JackM\calcium\ilastik_models\n2_o4\n2_o4.ilp,C:\Users\JackM\calcium\ilastik_models\n2_pdgfra\n2_pdgfra.ilp,C:\Users\JackM\calcium\ilastik_models\n2_mbp\n2_mbp.ilp,C:\Users\JackM\calcium\ilastik_models\n2_bf\n2_bf.ilp,True,True,True,True,True,True,True,True,
N2_HAMI3379_T2,N2,HAMI3379,2,C:\Users\JackM\Calcium\multiplex\N2_20251006_staining___HAMI3379_2.tif,C:\Users\JackM\Calcium\multiplex\N2_calcium_20250610___HAMI3379_2.tif,,C:\Users\JackM\Calcium\multiplex\N2_20251006_staining___HAMI3379_2.tif,C:\Users\JackM\Calcium\multiplex\N2_calcium_20250610___HAMI3379_2.tif,,O4=C:\Users\JackM\calcium\ilastik_models\n2_o4\n2_o4.ilp|PDGFRa=C:\Users\JackM\calcium\ilastik_models\n2_pdgfra\n2_pdgfra.ilp|MBP=C:\Users\JackM\calcium\ilastik_models\n2_mbp\n2_mbp.ilp|BF=C:\Users\JackM\calcium\ilastik_models\n2_bf\n2_bf.ilp,C:\Users\JackM\calcium\ilastik_models\n2_o4\n2_o4.ilp,C:\Users\JackM\calcium\ilastik_models\n2_pdgfra\n2_pdgfra.ilp,C:\Users\JackM\calcium\ilastik_models\n2_mbp\n2_mbp.ilp,C:\Users\JackM\calcium\ilastik_models\n2_bf\n2_bf.ilp,True,True,False,True,True,True,True,False,missing_landmarks
N2_MDL29951_T1,N2,MDL29951,1,C:\Users\JackM\Calcium\multiplex\N2_20251006_staining___MDL29951.tif,C:\Users\JackM\Calcium\multiplex\N2_calcium_20250610___MDL29951.tif,C:\Users\JackM\Calcium\multiplex\N2_MDL29951.csv,C:\Users\JackM\Calcium\multiplex\N2_20251006_staining___MDL29951.tif,C:\Users\JackM\Calcium\multiplex\N2_calcium_20250610___MDL29951.tif,C:\Users\JackM\Calcium\multiplex\N2_MDL29951.csv,O4=C:\Users\JackM\calcium\ilastik_models\n2_o4\n2_o4.ilp|PDGFRa=C:\Users\JackM\calcium\ilastik_models\n2_pdgfra\n2_pdgfra.ilp|MBP=C:\Users\JackM\calcium\ilastik_models\n2_mbp\n2_mbp.ilp|BF=C:\Users\JackM\calcium\ilastik_models\n2_bf\n2_bf.ilp,C:\Users\JackM\calcium\ilastik_models\n2_o4\n2_o4.ilp,C:\Users\JackM\calcium\ilastik_models\n2_pdgfra\n2_pdgfra.ilp,C:\Users\JackM\calcium\ilastik_models\n2_mbp\n2_mbp.ilp,C:\Users\JackM\calcium\ilastik_models\n2_bf\n2_bf.ilp,True,True,True,True,True,True,True,True,
N2_MDL29951_T2,N2,MDL29951,2,C:\Users\JackM\Calcium\multiplex\N2_20251006_staining___MDL29951_2.tif,C:\Users\JackM\Calcium\multiplex\N2_calcium_20250610___MDL_29951_2.tif,C:\Users\JackM\Calcium\multiplex\N2_MDL29951_2.csv,C:\Users\JackM\Calcium\multiplex\N2_20251006_staining___MDL29951_2.tif,C:\Users\JackM\Calcium\multiplex\N2_calcium_20250610___MDL_29951_2.tif,C:\Users\JackM\Calcium\multiplex\N2_MDL29951_2.csv,O4=C:\Users\JackM\calcium\ilastik_models\n2_o4\n2_o4.ilp|PDGFRa=C:\Users\JackM\calcium\ilastik_models\n2_pdgfra\n2_pdgfra.ilp|MBP=C:\Users\JackM\calcium\ilastik_models\n2_mbp\n2_mbp.ilp|BF=C:\Users\JackM\calcium\ilastik_models\n2_bf\n2_bf.ilp,C:\Users\JackM\calcium\ilastik_models\n2_o4\n2_o4.ilp,C:\Users\JackM\calcium\ilastik_models\n2_pdgfra\n2_pdgfra.ilp,C:\Users\JackM\calcium\ilastik_models\n2_mbp\n2_mbp.ilp,C:\Users\JackM\calcium\ilastik_models\n2_bf\n2_bf.ilp,True,True,True,True,True,True,True,True,
