lif_path,lif_name,scene_idx,series_name,base_name,cell_id,cellpose_area_px,cell_area_px,num_nuclei,mbp_area_px,pdgfra_area_px,cnp_area_px,num_proc,num_branch3_px,num_branch4_px,avg_segment_len_px,area_ratio_union,perimeter_ratio_union,cell_perimeter_union_px,hull_perimeter_union_px,hull_area_union_px,area_ratio_mbp,perimeter_ratio_mbp,cell_perimeter_mbp_px,hull_perimeter_mbp_px,cell_area_mbp_px,hull_area_mbp_px,area_ratio_pdgfra,perimeter_ratio_pdgfra,cell_perimeter_pdgfra_px,hull_perimeter_pdgfra_px,cell_area_pdgfra_px,hull_area_pdgfra_px,area_ratio_cnp,perimeter_ratio_cnp,cell_perimeter_cnp_px,hull_perimeter_cnp_px,cell_area_cnp_px,hull_area_cnp_px,max_r_px,AUC,Imax,Rmax_px,CriticalValue,mbp_mean_in,mbp_mean_bg,mbp_int_ratio,pdg_mean_in,pdg_mean_bg,pdg_int_ratio,cnp_mean_in,cnp_mean_bg,cnp_int_ratio,scene_area_ratio_union,scene_perimeter_ratio_union,scene_area_ratio_mbp,scene_perimeter_ratio_mbp,scene_area_ratio_pdgfra,scene_perimeter_ratio_pdgfra,scene_area_ratio_cnp,scene_perimeter_ratio_cnp
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\HAMI_0404.lif,HAMI_0404,0,Image 1,HAMI_0404_S1_Image_1,1,48122,15841,1,0,15841,0,58,206,44,7.986301369863014,3.2896913073669594,2.021264864142007,2502.3259018078043,1238.0,52112,,,0.0,0.0,0,0,3.2896913073669594,2.021264864142007,2502.3259018078043,1238.0,15841,52112,,,0.0,0.0,0,0,246,892.5,9.0,175.0,120.0,104.23679060665361,104.0,1.0022768327562848,255.1424152515624,137.0,1.8623533959968057,110.95536897923111,108.0,1.0273645275854733,2.003149257434516,2.190171166575141,2.029298641007301,3.3427982147332695,2.201978044516734,1.817215880359025,1.954013285866334,3.9348034817270405
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\HAMI_0404.lif,HAMI_0404,0,Image 1,HAMI_0404_S1_Image_1,2,28369,9252,1,0,9252,0,38,108,27,9.0625,2.4233679204496323,1.7843579294548015,1580.941125496954,886.0,22421,,,0.0,0.0,0,0,2.4233679204496323,1.7843579294548015,1580.941125496954,886.0,9252,22421,,,0.0,0.0,0,0,167,607.5,10.0,35.0,80.0,104.59089926502378,104.0,1.0056817237021518,274.0266969303934,137.0,2.0001948681050616,111.77594033722438,108.0,1.0349624105298554,2.003149257434516,2.190171166575141,2.029298641007301,3.3427982147332695,2.201978044516734,1.817215880359025,1.954013285866334,3.9348034817270405
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\HAMI_0404.lif,HAMI_0404,0,Image 1,HAMI_0404_S1_Image_1,3,49234,13796,1,0,13796,0,27,76,14,12.96551724137931,2.591475790084082,1.6584096814575637,1681.6274169979697,1014.0,35752,,,0.0,0.0,0,0,2.591475790084082,1.6584096814575637,1681.6274169979697,1014.0,13796,35752,,,0.0,0.0,0,0,313,537.5,5.0,75.0,155.0,104.42548564801392,104.0,1.00409120815398,374.9364308495216,137.0,2.7367622689746103,110.52826906349667,108.0,1.0234098987360802,2.003149257434516,2.190171166575141,2.029298641007301,3.3427982147332695,2.201978044516734,1.817215880359025,1.954013285866334,3.9348034817270405
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\HAMI_0404.lif,HAMI_0404,0,Image 1,HAMI_0404_S1_Image_1,4,48515,16278,2,0,16278,363,17,111,28,12.25,2.144489495023959,2.1210830679982173,1892.00609665441,892.0,34908,,,0.0,0.0,0,0,2.144489495023959,2.1210830679982173,1892.00609665441,892.0,16278,34908,3.8292011019283745,0.5606353472744733,104.27817459305203,186.0,363,1390,155,602.5,12.0,65.0,75.0,105.00755621083671,104.0,1.0096880404888144,421.7814227792112,137.0,3.0786965166365783,120.3801652892562,108.0,1.1146311600857055,2.003149257434516,2.190171166575141,2.029298641007301,3.3427982147332695,2.201978044516734,1.817215880359025,1.954013285866334,3.9348034817270405
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\HAMI_0404.lif,HAMI_0404,0,Image 1,HAMI_0404_S1_Image_1,7,83057,42827,0,43980,179,42827,87,433,118,10.065517241379311,2.091694491792561,4.222589575958895,5928.5157646462885,1404.0,89581,1.983105957253297,3.510388843879824,4956.669047558312,1412.0,43980,87217,1.1899441340782122,1.0183171423115376,78.62132034355963,77.20710678118655,179,213,2.091694491792561,4.222589575958895,5928.5157646462885,1404.0,42827,89581,240,1852.5,26.0,125.0,112.95454545454545,164.0318781264211,104.0,1.5772295973694337,170.9050279329609,137.0,1.2474819557150432,160.70679711397017,108.0,1.4880258992034274,2.003149257434516,2.190171166575141,2.029298641007301,3.3427982147332695,2.201978044516734,1.817215880359025,1.954013285866334,3.9348034817270405
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\HAMI_0404.lif,HAMI_0404,0,Image 1,HAMI_0404_S1_Image_1,8,36086,14230,2,25,14143,87,61,177,48,8.49655172413793,2.421574139142656,2.773620308570201,2460.77564927611,887.2071067811866,34459,1.08,0.6942101808164303,13.621320343559644,19.621320343559645,25,27,2.322986636498621,2.917810654772179,2415.9472221513643,828.0,14143,32854,1.793103448275862,0.6024175352894315,44.828427124746185,74.41421356237309,87,156,139,897.5,22.0,95.0,67.5,122.68,104.0,1.1796153846153847,312.22505833274414,137.0,2.2790150243265996,129.66666666666666,108.0,1.2006172839506173,2.003149257434516,2.190171166575141,2.029298641007301,3.3427982147332695,2.201978044516734,1.817215880359025,1.954013285866334,3.9348034817270405
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\HAMI_0404.lif,HAMI_0404,0,Image 1,HAMI_0404_S1_Image_1,9,187793,133082,6,97977,38917,112007,218,890,223,11.345394736842104,1.628432094498129,4.609172954179283,10435.167568261897,2264.0,216715,1.957847249864764,3.881205192456289,7824.509667991879,2016.0,97977,191824,2.956779813449135,1.5509564630718173,2946.817279836453,1900.0,38917,115069,1.8116635567419894,4.966850889691383,10430.386868351903,2100.0,112007,202919,355,3227.5,28.0,225.0,175.0,188.5177031344091,104.0,1.8126702224462412,386.5821877328674,137.0,2.8217677936705647,212.07183479603952,108.0,1.9636280999633289,2.003149257434516,2.190171166575141,2.029298641007301,3.3427982147332695,2.201978044516734,1.817215880359025,1.954013285866334,3.9348034817270405
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\HAMI_0404.lif,HAMI_0404,0,Image 1,HAMI_0404_S1_Image_1,10,20636,7850,1,0,7850,0,12,58,13,12.352941176470589,1.7635668789808918,1.4682060934330612,1018.9350288425444,694.0,13844,,,0.0,0.0,0,0,1.7635668789808918,1.4682060934330612,1018.9350288425444,694.0,7850,13844,,,0.0,0.0,0,0,130,397.5,10.0,85.0,62.5,104.8379617834395,104.0,1.0080573248407645,342.7296815286624,137.0,2.501676507508485,111.82458598726114,108.0,1.035412833215381,2.003149257434516,2.190171166575141,2.029298641007301,3.3427982147332695,2.201978044516734,1.817215880359025,1.954013285866334,3.9348034817270405
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\HAMI_0404.lif,HAMI_0404,0,Image 1,HAMI_0404_S1_Image_1,12,28004,9104,2,0,9104,0,20,64,11,11.41304347826087,2.8087653778558876,1.5212069994193376,1232.1776695296635,810.0,25571,,,0.0,0.0,0,0,2.8087653778558876,1.5212069994193376,1232.1776695296635,810.0,9104,25571,,,0.0,0.0,0,0,259,395.0,6.0,110.0,132.29166666666666,104.19496924428823,104.0,1.0018747042720022,311.8959797891037,137.0,2.276612991161341,110.83534710017575,108.0,1.0262532138905163,2.003149257434516,2.190171166575141,2.029298641007301,3.3427982147332695,2.201978044516734,1.817215880359025,1.954013285866334,3.9348034817270405
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\HAMI_0404.lif,HAMI_0404,0,Image 1,HAMI_0404_S1_Image_1,13,15201,7510,1,0,7510,0,49,104,42,5.778947368421052,1.9054593874833554,2.219890585041187,1252.0182899632296,564.0,14310,,,0.0,0.0,0,0,1.9054593874833554,2.219890585041187,1252.0182899632296,564.0,7510,14310,,,0.0,0.0,0,0,99,572.5,26.0,55.0,47.5,105.6988015978695,104.0,1.0163346307487453,377.7179760319574,137.0,2.7570655184814408,112.94593874833555,108.0,1.0457957291512552,2.003149257434516,2.190171166575141,2.029298641007301,3.3427982147332695,2.201978044516734,1.817215880359025,1.954013285866334,3.9348034817270405
