lif_path,lif_name,scene_idx,series_name,base_name,cell_id,cellpose_area_px,cell_area_px,num_nuclei,mbp_area_px,pdgfra_area_px,cnp_area_px,num_proc,num_branch3_px,num_branch4_px,avg_segment_len_px,area_ratio_union,perimeter_ratio_union,cell_perimeter_union_px,hull_perimeter_union_px,hull_area_union_px,area_ratio_mbp,perimeter_ratio_mbp,cell_perimeter_mbp_px,hull_perimeter_mbp_px,cell_area_mbp_px,hull_area_mbp_px,area_ratio_pdgfra,perimeter_ratio_pdgfra,cell_perimeter_pdgfra_px,hull_perimeter_pdgfra_px,cell_area_pdgfra_px,hull_area_pdgfra_px,area_ratio_cnp,perimeter_ratio_cnp,cell_perimeter_cnp_px,hull_perimeter_cnp_px,cell_area_cnp_px,hull_area_cnp_px,max_r_px,AUC,Imax,Rmax_px,CriticalValue,mbp_mean_in,mbp_mean_bg,mbp_int_ratio,pdg_mean_in,pdg_mean_bg,pdg_int_ratio,cnp_mean_in,cnp_mean_bg,cnp_int_ratio,scene_area_ratio_union,scene_perimeter_ratio_union,scene_area_ratio_mbp,scene_perimeter_ratio_mbp,scene_area_ratio_pdgfra,scene_perimeter_ratio_pdgfra,scene_area_ratio_cnp,scene_perimeter_ratio_cnp
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,0,Image 1,Pranlukast_0606_S1_Image_1,2,12377,9543,4,12377,796,9084,17,120,54,6.790123456790123,1.3397254532117782,1.9198336635868982,956.0771644662753,498.0,12785,1.0576068514179526,1.0358565737051793,520.0,502.0,12377,13090,7.005025125628141,0.8551392610770352,323.2426406871193,378.0,796,5576,1.4025759577278731,1.7422950821363499,867.6629509039022,498.0,9084,12741,90,317.5,10.0,55.0,42.5,197.26371495515878,127.0,1.5532575980721164,183.48366834170855,139.0,1.3200263909475436,143.63143989431967,107.0,1.3423499055543895,2.1038548052956223,2.5374931622892962,1.1830049706762036,1.2515290813639262,4.741312974987247,1.2979185791331518,2.094693437036255,2.635829630877369
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,0,Image 1,Pranlukast_0606_S1_Image_1,3,22997,2368,1,9541,2229,139,28,34,12,8.028571428571428,5.9581925675675675,1.2002999615435879,739.3847763108502,616.0,14109,1.9020018865946966,1.366325567337691,855.3198051533947,626.0,9541,18147,5.172274562584119,1.2347734867229545,656.8994949366117,532.0,2229,11529,1.8129496402877698,1.0998037516565145,82.48528137423858,75.0,139,252,194,300.0,5.0,70.0,97.20588235294117,146.63735457499214,127.0,1.1546248391731664,220.74831763122475,139.0,1.5881173930303938,129.33812949640287,107.0,1.2087675653869427,2.1038548052956223,2.5374931622892962,1.1830049706762036,1.2515290813639262,4.741312974987247,1.2979185791331518,2.094693437036255,2.635829630877369
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,0,Image 1,Pranlukast_0606_S1_Image_1,5,112515,53638,3,112509,5985,52144,198,622,153,8.280590717299578,2.4102501957567397,3.6759543448853287,6616.717820793591,1800.0,129281,1.1673377240931837,1.0715775046994365,1952.414213562373,1822.0,112509,131336,7.868170426065163,0.7284656544011401,845.8994949366117,1161.2071067811867,5985,47091,2.479307302853636,3.621243686707646,6518.238636073763,1800.0,52144,129281,482,2467.5,16.0,85.0,242.2826086956522,200.26561430641104,127.0,1.5768946008378821,281.65998329156224,139.0,2.0263308150472104,141.6460954280454,107.0,1.3237952843742562,2.1038548052956223,2.5374931622892962,1.1830049706762036,1.2515290813639262,4.741312974987247,1.2979185791331518,2.094693437036255,2.635829630877369
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,0,Image 1,Pranlukast_0606_S1_Image_1,6,9852,3229,1,7922,1,3228,24,60,16,5.910714285714286,2.2966862805822235,1.896388246640793,724.4203102167829,382.0,7416,1.1747033577379449,1.3240270748965557,564.0355339059328,426.0,7922,9306,1.0,,0.0,0.0,1,1,2.2973977695167287,1.896388246640793,724.4203102167829,382.0,3228,7416,75,245.0,11.0,40.0,35.0,165.57031052764452,127.0,1.303703232501138,175.0,139.0,1.2589928057553956,129.37608426270137,107.0,1.2091222828289847,2.1038548052956223,2.5374931622892962,1.1830049706762036,1.2515290813639262,4.741312974987247,1.2979185791331518,2.094693437036255,2.635829630877369
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,0,Image 1,Pranlukast_0606_S1_Image_1,8,3370,2540,0,3363,175,2540,10,22,1,10.941176470588236,1.2586614173228345,1.2627300703643514,371.2426406871193,294.0,3197,1.0612548319952424,1.0254044011451988,307.62132034355966,300.0,3363,3569,2.525714285714286,0.8310383051124827,91.41421356237309,110.0,175,442,1.2586614173228345,1.2627300703643514,371.2426406871193,294.0,2540,3197,63,102.5,4.0,30.0,27.5,181.28218852215284,127.0,1.4274188072610459,166.59428571428572,139.0,1.1985200411099692,132.88188976377953,107.0,1.2418868202222386,2.1038548052956223,2.5374931622892962,1.1830049706762036,1.2515290813639262,4.741312974987247,1.2979185791331518,2.094693437036255,2.635829630877369
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,0,Image 1,Pranlukast_0606_S1_Image_1,9,28879,9086,4,418,9086,0,28,71,17,10.827586206896552,3.445410521681708,1.6542908968576477,1409.455844122716,852.0,31305,11.473684210526315,0.39921711784636466,160.48528137423858,402.0,418,4796,3.445410521681708,1.6542908968576477,1409.455844122716,852.0,9086,31305,,,0.0,0.0,0,0,163,452.5,8.0,90.0,80.0,138.10047846889952,127.0,1.0874053422747993,236.75896984371562,139.0,1.703301941321695,111.6147549811524,107.0,1.0431285512257233,2.1038548052956223,2.5374931622892962,1.1830049706762036,1.2515290813639262,4.741312974987247,1.2979185791331518,2.094693437036255,2.635829630877369
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,0,Image 1,Pranlukast_0606_S1_Image_1,10,21032,6347,3,4754,6347,0,27,64,17,7.7254901960784315,1.9653379549393415,1.5207875664621846,815.142135623731,536.0,12474,2.785864535128313,2.267735754871092,1299.8822509939087,573.2071067811866,4754,13244,1.9653379549393415,1.5207875664621846,815.142135623731,536.0,6347,12474,,,0.0,0.0,0,0,97,307.5,12.0,45.0,45.0,138.8496003365587,127.0,1.0933039396579425,413.2046636206082,139.0,2.972695421730994,113.58502660861151,107.0,1.0615423047533787,2.1038548052956223,2.5374931622892962,1.1830049706762036,1.2515290813639262,4.741312974987247,1.2979185791331518,2.094693437036255,2.635829630877369
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,0,Image 1,Pranlukast_0606_S1_Image_1,11,17982,3800,2,0,3800,0,27,55,12,9.977777777777778,3.9839473684210525,1.809410156674828,1190.5918830920368,658.0,15139,,,0.0,0.0,0,0,3.9839473684210525,1.809410156674828,1190.5918830920368,658.0,3800,15139,,,0.0,0.0,0,0,114,452.5,8.0,40.0,55.0,132.8571052631579,127.0,1.0461189390799834,193.86973684210525,139.0,1.3947463082165845,110.62421052631579,107.0,1.0338711264141662,2.1038548052956223,2.5374931622892962,1.1830049706762036,1.2515290813639262,4.741312974987247,1.2979185791331518,2.094693437036255,2.635829630877369
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,0,Image 1,Pranlukast_0606_S1_Image_1,13,8254,3039,1,0,3039,0,14,24,4,9.681818181818182,1.7064823955248436,1.3357326271914924,475.5208152801713,356.0,5186,,,0.0,0.0,0,0,1.7064823955248436,1.3357326271914924,475.5208152801713,356.0,3039,5186,,,0.0,0.0,0,0,139,157.5,2.0,20.0,67.5,127.15465613688714,127.0,1.001217764857379,253.6762092793682,139.0,1.8250086998515698,109.61599210266534,107.0,1.0244485243239752,2.1038548052956223,2.5374931622892962,1.1830049706762036,1.2515290813639262,4.741312974987247,1.2979185791331518,2.094693437036255,2.635829630877369
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,0,Image 1,Pranlukast_0606_S1_Image_1,15,19207,6891,1,4360,6891,0,17,25,3,16.807692307692307,2.1365549267160064,1.6808618735007268,948.0060966544099,564.0,14723,3.6105504587155965,2.282670278702967,1406.1248916810277,616.0,4360,15742,2.1365549267160064,1.6808618735007268,948.0060966544099,564.0,6891,14723,,,0.0,0.0,0,0,103,382.5,11.0,70.0,47.5,138.73967889908258,127.0,1.0924384165282093,335.4862864606008,139.0,2.4135704061913725,110.90973557692308,107.0,1.0365395848310568,2.1038548052956223,2.5374931622892962,1.1830049706762036,1.2515290813639262,4.741312974987247,1.2979185791331518,2.094693437036255,2.635829630877369
