cell_id,crop_file_name,original_image_file_name,original_image_stem,field_of_view,bio_rep,treatment_blinded,treatment,date_code,prefix,scene_index,cell_index,mbp_cell_source_path,mbp_soma_source_path,c3_cell_source_path,mbp_cell_seg_path,mbp_soma_seg_path,c3_cell_seg_path,qc_image_path,thesis_image_path,mbp_total_area_px,mbp_soma_area_px,mbp_soma_area_within_total_px,soma_to_total_ratio,process_to_total_ratio,mbp_process_area_px,mbp_process_area_subtract_px,c3_total_area_px,nanofiber_total_area_px,mbp_c3_colocalized_area_px,mbp_nanofiber_colocalized_area_px,mbp_c3_soma_colocalized_area_px,mbp_nanofiber_soma_colocalized_area_px,mbp_c3_process_colocalized_area_px,mbp_nanofiber_process_colocalized_area_px,pct_mbp_colocalized,pct_mbp_nanofiber_colocalized,pct_process_colocalized,pct_process_nanofiber_colocalized
X2403_0_cell01,X2403_0_cell01_cell_c2.tif,X2403_0.tif,X2403_0,X2403_0,n1,X,pranlukast,2403,X,0,1,C:\Users\JackM\Desktop\out\X2403_0_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\X2403_0_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\X2403_0_cell01_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_0_cell01_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_0_cell01_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\X2403_0_cell01_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\X2403_0_cell01__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\X2403_0_cell01__thesis.png,166257,39674,39398,0.23863055390148985,0.7630295265763246,126859,126583,326704,326704,91352,91352,16925,16925,74427,74427,54.94625790192293,54.94625790192293,58.669073538337834,58.669073538337834
X2403_0_cell02,X2403_0_cell02_cell_c2.tif,X2403_0.tif,X2403_0,X2403_0,n1,X,pranlukast,2403,X,0,2,C:\Users\JackM\Desktop\out\X2403_0_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\X2403_0_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\X2403_0_cell02_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_0_cell02_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_0_cell02_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\X2403_0_cell02_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\X2403_0_cell02__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\X2403_0_cell02__thesis.png,89334,22644,22349,0.2534757203304453,0.7498264938321356,66985,66690,169913,169913,46403,46403,12265,12265,34138,34138,51.94326908008149,51.94326908008149,50.96364857803985,50.96364857803985
X2403_1_cell01,X2403_1_cell01_cell_c2.tif,X2403_1.tif,X2403_1,X2403_1,n1,X,pranlukast,2403,X,1,1,C:\Users\JackM\Desktop\out\X2403_1_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\X2403_1_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\X2403_1_cell01_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_1_cell01_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_1_cell01_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\X2403_1_cell01_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\X2403_1_cell01__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\X2403_1_cell01__thesis.png,275319,32784,32662,0.11907641681104464,0.8813667055306753,242657,242535,424138,424138,154818,154818,16837,16837,137981,137981,56.23222516426401,56.23222516426401,56.862567327544646,56.862567327544646
X2403_1_cell02,X2403_1_cell02_cell_c2.tif,X2403_1.tif,X2403_1,X2403_1,n1,X,pranlukast,2403,X,1,2,C:\Users\JackM\Desktop\out\X2403_1_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\X2403_1_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\X2403_1_cell02_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_1_cell02_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_1_cell02_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\X2403_1_cell02_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\X2403_1_cell02__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\X2403_1_cell02__thesis.png,155697,24279,24175,0.1559374939786894,0.8447304700797061,131522,131418,224704,224704,90763,90763,15248,15248,75515,75515,58.294636377065714,58.294636377065714,57.41624975289306,57.41624975289306
X2403_2_cell01,X2403_2_cell01_cell_c2.tif,X2403_2.tif,X2403_2,X2403_2,n1,X,pranlukast,2403,X,2,1,C:\Users\JackM\Desktop\out\X2403_2_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\X2403_2_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\X2403_2_cell01_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_2_cell01_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_2_cell01_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\X2403_2_cell01_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\X2403_2_cell01__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\X2403_2_cell01__thesis.png,198133,44593,44004,0.22506599102622984,0.7779067596008742,154129,153540,311495,311495,103775,103775,24513,24513,79262,79262,52.37643401149733,52.37643401149733,51.425753751727456,51.425753751727456
X2403_2_cell02,X2403_2_cell02_cell_c2.tif,X2403_2.tif,X2403_2,X2403_2,n1,X,pranlukast,2403,X,2,2,C:\Users\JackM\Desktop\out\X2403_2_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\X2403_2_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\X2403_2_cell02_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_2_cell02_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_2_cell02_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\X2403_2_cell02_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\X2403_2_cell02__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\X2403_2_cell02__thesis.png,120876,30145,29815,0.24938780237598862,0.7533422681094676,91061,90731,128129,128129,54002,54002,13177,13177,40825,40825,44.67553525927397,44.67553525927397,44.832584750881274,44.832584750881274
X2403_2_cell03,X2403_2_cell03_cell_c2.tif,X2403_2.tif,X2403_2,X2403_2,n1,X,pranlukast,2403,X,2,3,C:\Users\JackM\Desktop\out\X2403_2_cell03_cell_c2.tif,C:\Users\JackM\Desktop\out\X2403_2_cell03_soma_c2.tif,C:\Users\JackM\Desktop\out\X2403_2_cell03_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_2_cell03_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_2_cell03_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\X2403_2_cell03_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\X2403_2_cell03__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\X2403_2_cell03__thesis.png,129107,41739,41495,0.32328998427660777,0.6785999209957632,87612,87368,259681,259681,76524,76524,25560,25560,50964,50964,59.27176682906426,59.27176682906426,58.17011368305711,58.17011368305711
Y2403_0_cell01,Y2403_0_cell01_cell_c2.tif,Y2403_0.tif,Y2403_0,Y2403_0,n1,Y,vehicle,2403,Y,0,1,C:\Users\JackM\Desktop\out\Y2403_0_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\Y2403_0_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\Y2403_0_cell01_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_0_cell01_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_0_cell01_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Y2403_0_cell01_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\Y2403_0_cell01__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\Y2403_0_cell01__thesis.png,92362,28578,27868,0.3094129620406661,0.6982741820229098,64494,63784,409145,409145,53839,53839,12511,12511,41328,41328,58.29128862519218,58.29128862519218,64.08037957019258,64.08037957019258
Y2403_1_cell01,Y2403_1_cell01_cell_c2.tif,Y2403_1.tif,Y2403_1,Y2403_1,n1,Y,vehicle,2403,Y,1,1,C:\Users\JackM\Desktop\out\Y2403_1_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\Y2403_1_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\Y2403_1_cell01_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_1_cell01_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_1_cell01_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Y2403_1_cell01_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\Y2403_1_cell01__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\Y2403_1_cell01__thesis.png,86340,41905,41733,0.4853486217280519,0.5166435024322447,44607,44435,353891,353891,55166,55166,25672,25672,29494,29494,63.893907806347,63.893907806347,66.11966731678885,66.11966731678885
Y2403_1_cell02,Y2403_1_cell02_cell_c2.tif,Y2403_1.tif,Y2403_1,Y2403_1,n1,Y,vehicle,2403,Y,1,2,C:\Users\JackM\Desktop\out\Y2403_1_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\Y2403_1_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\Y2403_1_cell02_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_1_cell02_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_1_cell02_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Y2403_1_cell02_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\Y2403_1_cell02__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\Y2403_1_cell02__thesis.png,119225,26059,26041,0.21856993080310338,0.7815810442440764,93184,93166,171259,171259,66904,66904,16919,16919,49985,49985,56.1157475361711,56.1157475361711,53.64118303571429,53.64118303571429
